Direction,Date,Boarding Stop,Alighting Stop,Passengers
North,01/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Thrower Drive,2
North,01/03/2026,Golden Four Dr at Shell Street,Golden Four Dr at Shell Street,1
North,01/03/2026,Coolangatta Central,Currumbin Wildlife Sanctuary,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Fourth Avenue,2
North,01/03/2026,Musgrave St at Coyne Street,Broadbeach South station,8
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Unknown,15
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Broadbeach South station,11
North,01/03/2026,Coolangatta Central,Coolangatta Central,7
North,01/03/2026,Golden Four Dr at Short Street,Burleigh Heads station,4
North,01/03/2026,Wharf St at Tweed Heads,Griffith St at Coolangatta East,3
North,01/03/2026,Burleigh Heads Primary School,"Broadbeach South station, stop D",2
North,01/03/2026,Broadbeach South station,Robina Town Centre,2
North,01/03/2026,Wharf St at Tweed Heads,Golden Four Dr at North Kirra Beach,1
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Palm Beach,1
North,01/03/2026,Wharf St at Tweed Heads,McLean St at Queen Elizabeth Park,1
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Nineteenth Avenue,1
North,01/03/2026,Burleigh Heads Primary School,Unknown,6
North,01/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Twenty First Avenue,1
North,01/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Miami station,3
North,01/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Miami station,2
North,01/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Eighth Avenue,1
North,01/03/2026,Gold Coast Hwy at Miami Hotel,"Broadbeach South station, stop C",2
North,01/03/2026,Coolangatta Central,Golden Four Dr at Shell Street,3
North,01/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Drive at St Monica's Catholic Church,1
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Hythe St CLOSED,1
North,01/03/2026,Burleigh Heads station,Broadbeach South station,195
North,01/03/2026,Gold Coast Hwy at Miami North station,Broadbeach South station,96
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Eighth Avenue,2
North,01/03/2026,Nineteenth Avenue,Unknown,5
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Broadbeach South station,5
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Marine Pde at Kirra Beach Hotel,5
North,01/03/2026,Gold Coast Hwy at Hythe St CLOSED,Unknown,3
North,01/03/2026,Nineteenth Avenue,Gold Coast Hwy at Hythe St CLOSED,1
North,01/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Golden Four Dr at North Kirra Beach,Broadbeach South station,2
North,01/03/2026,Musgrave St at Coyne Street,Nineteenth Avenue,1
North,01/03/2026,Twin Towns Services Club,Broadbeach South station,26
North,01/03/2026,Wharf St at Tweed Heads,"Broadbeach South station, stop D",2
North,01/03/2026,Musgrave St at Coyne Street,Tweed St at George St,1
North,01/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Mermaid Beach station,2
North,01/03/2026,Golden Four Dr at Bilinga Beach,Burleigh Heads station,2
North,01/03/2026,Nineteenth Avenue,Twenty Seventh Avenue,1
North,01/03/2026,Golden Four Dr at Bilinga Beach SLSC,Golden Four Dr at Tugun Beach shops,2
North,01/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at North Kirra Beach,1
North,01/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Fourth Avenue,1
North,01/03/2026,Twenty Seventh Avenue,Twenty Seventh Avenue,1
North,01/03/2026,Burleigh Heads station,"Broadbeach South station, stop C",4
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Unknown,5
